2012-01-24 08:59:07 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 09:01:20 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 09:01:20 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 09:02:37 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 09:02:37 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 09:03:05 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 09:03:05 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 09:05:55 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 09:05:55 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 09:06:15 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 09:06:15 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 09:14:04 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 09:14:04 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 09:14:43 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 09:14:43 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
2012-01-24 09:18:15 Notice: Notice (8): Undefined property:  stdClass::$tipos_opcoes in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 95]
2012-01-24 09:18:15 Notice: Notice (8): Trying to get property of non-object in [/srv/ftp/casadacaldeira/public_html/novo/views/produtos/visualizar.ctp, line 96]
